language,term,stemmed.term,
1,безплатно,безплатно,
1,важен,важен,
1,всеки,всеки,
1,всички,всички,
1,всичко,всичко,
1,изяли,изяли,
1,имaтe,имaтe,
1,има,има,
1,имали,имали,
1,кaжa,кaжa,
1,какво,какво,
1,каквото,каквото,
1,нeщo,нещо,
1,направила,направила,
1,не,не,
1,непознати,непознати,
1,нещо,нещо,
1,никого,никой,
1,никой,никой,
1,нищо,нищо,
1,някого,някой,
1,някой,някой,
1,някому,някой,
1,някоя,някой,
1,няма,няма,
1,нямахме,няма,
1,облекчи,облекчи,
1,отишъл,отишъл,
1,пийнете,пийнете,
1,сам,сам,
1,свършиш,свършиш,
1,случаен,случаен,
1,стига,стига,
1,там,там,
1,уникално,уникално,
1,фасулска,фасулска,
1,чoвeк,чoвeк,
1,човек,човек,
1,чудо,чудо,
1,чуждият,чуждият,
1,,,
2,-mrak,mrak,
2,-nikoga,nitko,
2,-nista,ništa,
2,-ništa,ništa,
2,-zovite,zovite,
2,–ništa,ništa,
2,besplatno,besplatno,
2,bez,bez,
2,bićete,bićete,
2,bilo,bilo,
2,čega,čega,
2,dim,dim,
2,god,god,
2,ijednog,ijednog,
2,iko,itko,
2,ikoga,itko,
2,ima,ima,
2,ista,išta,
2,išta,išta,
2,itko,itko,
2,kim,kim,
2,ko,tko,
2,koga,tko,
2,kome,tko,
2,lansiraju,lansiraju,
2,nalazi,nalazi,
2,napravila,napravila,
2,nečeg,nešto,
2,necega,nešto,
2,nečega,nešto,
2,nečim,nešto,
2,nekako,nekako,
2,nekim,netko,
2,neko,netko,
2,nekog,netko,
2,nekoga,netko,
2,nekome,netko,
2,nemaš,nemaš,
2,nesto,nešto,
2,nešto,nešto,
2,netko,netko,
2,ni,nic,
2,nicega,ništa,
2,ničega,ništa,
2,nikakve,nitko,
2,niko,nitko,
2,nikoga,nitko,
2,nikom,nitko,
2,nikome,nitko,
2,nikomu,nitko,
2,nista,ništa,
2,ništa,ništa,
2,nitko,nitko,
2,ono,ono,
2,onoga,ono,
2,ovakvu,ovakvu,
2,ozlijeden,ozlijeden,
2,pomjerajte,pomjerajte,
2,popijte,popijte,
2,poseban,poseban,
2,preduzeti,preduzeti,
2,razgovaraš,razgovaraš,
2,šta,šta,
2,svako,svatko,
2,svakog,svatko,
2,svakoga,svatko,
2,svakome,svatko,
2,svatko,svatko,
2,sve,sve,
2,svega,sve,
2,tko,tko,
2,učinićeš,učinićeš,
2,uđe,uđe,
2,uopšte,uopšte,
2,više,više,
2,,,
3,-nic,nic,
3,-pořád,pořád,
3,čeho,čeho,
3,čehokoliv,cokoliv,
3,čemkoliv,cokoliv,
3,chcete,chcete,
3,cokoli,cokoliv,
3,cokoliv,cokoliv,
3,každý,každý,
3,kdo,kdo,
3,kdokoli,kdokoliv,
3,kdokoliv,kdokoliv,
3,komukoliv,kdokoliv,
3,koukám,koukám,
3,malé,malé,
3,něčeho,něco,
3,něčemu,něco,
3,něčím,něco,
3,něco,něco,
3,nedělala,nedělala,
3,nedělám,nedělala,
3,nehne,nehne,
3,nějak,nějaký,
3,nějakou,nějaký,
3,někdo,někdo,
3,někoho,někdo,
3,někomu,někdo,
3,někým,někdo,
3,nemá,nemá,
3,nemáš,nemá,
3,nemohl,nemohl,
3,nemusíš,nemusíš,
3,nenajdete,nenajdete,
3,není,není,
3,neodletí,neodletí,
3,neotevřeli,neotevřeli,
3,nešel,nešel,
3,neslyšeli,neslyšeli,
3,nesnědli,nesnědli,
3,nevím,nevím,
3,nezbyl,nezbyl,
3,nic,nic,
3,ničeho,nic,
3,nicjiného,nicjiného,
3,nicka,nicka,
3,nikdo,nikdo,
3,nikoho,nikdo,
3,nikomu,nikdo,
3,nikým,nikdo,
3,pána,pána,
3,perimetru,perimetru,
3,pomůže,pomůže,
3,požádá,požádá,
3,prázdné,prázdné,
3,řekni,řekni,
3,slyší,slyší,
3,spatřen,spatřen,
3,svým,svým,
3,terčem,terčem,
3,věci,věci,
3,volal,volal,
3,všichni,všichni,
3,zabloudil,zabloudil,
3,zbytečně,zbytečně,
3,,,
4,alle,alle,
4,alt,alt,
4,andet,andet,
4,andre,andre,
4,anybody,anybody,
4,bliver,bliver,
4,dem,dem,
4,der,der,
4,en,en,
4,enhver,enhver,
4,glemte,glemte,
4,gøre,gøre,
4,gratis,gratis,
4,helst,helst,
4,ikke,ikke,
4,ingen,ingen,
4,ingenting,ingenting,
4,intet,intet,
4,kender,kender,
4,koldt,koldt,
4,kommet,kommet,
4,lige,lige,
4,mundlam,mundlam,
4,nogen,nogen,
4,noget,noget,
4,nogle,nogle,
4,nothing,nothing,
4,person,person,
4,rør,rør,
4,sig,sig,
4,skimte,skimte,
4,sløret,sløret,
4,somethings,somethings,
4,ting,ting,
4,,,
5,-nichts,nichts,
5,allem,alles,
5,alles,alles,
5,anderen,anderen,
5,ängstlich,ängstlich,
5,antun,antun,
5,besonderes,besonderes,
5,bild,bild,
5,bloß,bloß,
5,bord,bord,
5,brauche,brauche,
5,brauchen,brauchen,
5,breit,breit,
5,einen,einer,
5,einer,einer,
5,eins,einer,
5,entscheidet,entscheidet,
5,etwas,etwas,
5,falls,falls,
5,gegenleistung,gegenleistung,
5,gibt,gibt,
5,grund,grund,
5,hol,hol,
5,hören,hören,
5,irgend,irgend,
5,irgendetwas,irgendetwas,
5,irgendjemand,irgendjemand,
5,irgendjemanden,irgendjemand,
5,irgendwas,irgendwas,
5,irgendwen,irgendwer,
5,irgendwer,irgendwer,
5,jedem,jeder,
5,jeden,jeder,
5,jeder,jeder,
5,jemand,jemand,
5,jemandem,jemand,
5,jemanden,jemand,
5,kann,kann,
5,keine,keine,
5,keinem,keine,
5,keiner,keine,
5,kinderbuch,kinderbuch,
5,klacks,klacks,
5,kühles,kühles,
5,leute,leute,
5,leuten,leute,
5,man,man,
5,menschen,menschen,
5,nichts,nichts,
5,niemand,niemand,
5,niemandem,niemand,
5,niemanden,niemand,
5,radius,radius,
5,sagen,sagen,
5,schieß,schieß,
5,schmerzmittel,schmerzmittel,
5,so,so,
5,spur,spur,
5,übel,übel,
5,übriggeblieben,übriggeblieben,
5,umsonst,umsonst,
5,unternehmen,unternehmen,
5,vorher,vorher,
5,vorspielen,vorspielen,
5,was,was,
5,wen,wer,
5,zugeschnappt,zugeschnappt,
5,,,
6,-eχω,eχω,
6,-kάτι,κάτι,
6,-έρχεται,έρχεται,
6,kάποιος,κάποιος,
6,tίπoτα,τίποτα,
6,ακίνητοι,ακίνητοι,
6,άλλαζαν,άλλαζαν,
6,άναυδος,άναυδος,
6,απίστευτο,απίστευτο,
6,άσο,άσο,
6,αυτα,αυτός,
6,αυτός,αυτός,
6,δείτε,δείτε,
6,δεν,δεν,
6,διακρίνω,διακρίνω,
6,δύσκολο,δύσκολο,
6,δώσμου,δώσμου,
6,έναν,έναν,
6,θέαμα,θέαμα,
6,κα'να,κα'να,
6,καvέvαv,κανένας,
6,καvείς,κανένας,
6,καvέις,κανένας,
6,καθένας,καθένας,
6,κανείς,κανένας,
6,κανένα,κανένας,
6,κανέναν,κανένας,
6,κανένας,κανένας,
6,κάποıοv,κάποιος,
6,κάποια,κάποιος,
6,κάποιο,κάποιος,
6,κάποιον,κάποιος,
6,κάποιος,κάποιος,
6,κάποιου,κάποιου,
6,κάπως,κάπως,
6,κάτı,κάτι,wrong char
6,κάτι,κάτι,
6,κουνηθεί,κουνηθεί,
6,λαμβάνει,λαμβάνει,
6,λόγος,λόγος,
6,μάταια,μάταια,
6,ολοι,ολοι,
6,όποια,όποια,
6,οποιοδήποτε,οποιοδήποτε,
6,οποιονδήποτε,οποιονδήποτε,
6,όποιος,όποιος,
6,οποιοσδήποτε,οποιοσδήποτε,
6,οτιδήποτε,οτιδήποτε,
6,πάντα,πάντα,
6,σοβαρό,σοβαρό,
6,στείλεις,στείλεις,
6,τζάμπα,τζάμπα,
6,τιδήποτε,τιδήποτε,
6,τίποτα,τίποτα,
6,τίποτε,τίποτα,
6,,,
7,anybody,anybody,
7,anyone,anyone,
7,anything,anything,
7,nobody,nobody,
7,nothin,nothing,
7,nothing,nothing,
7,somebody,somebody,
7,someone,someone,
7,somethin,somethin,
7,something,something,
8,-¿se,se,
8,-nada,nada,
8,¡alguien,alguien,
8,¡echenme,echenme,
8,¡nada,nada,
8,¡nadie,nadie,
8,¿algo,algo,
8,¿alguien,alguien,
8,¿algún,alguno,
8,¿alguna,alguno,
8,¿alguno,alguno,
8,¿hay alguien,hay alguien,
8,¿haya alguien,hay alguien,
8,¿nada,nada,
8,¿tienes algo,tienes algo,
8,¿viene alguien,viene alguien,
8,¿viste,viste,
8,algo,algo,
8,alguien,alguien,
8,alguno,alguno,
8,bajar,bajar,
8,cosa,cosa,
8,cualquier,cualquier,
8,cualquier cosa,cualquier cosa,
8,cualquiera,cualquier,
8,daremos,daremos,
8,dé gratis,dé gratis,
8,fantástico,fantástico,
8,hay,hay,
8,hubiera,hubiera,
8,lo,lo,
8,más,más,
8,mundo,mundo,
8,nada,nada,
8,nadie,nadie,
8,no,no,
8,persona,persona,
8,propuesto,propuesto,
8,quedaba gente,quedaba gente,
8,quien,quien,
8,sea,sea,
8,sin,sin,
8,sírvase,sírvase,
8,supieran,supieran,
8,,,
9,asja,asja,
9,ei,ei,
9,ei midagi,ei miski,
9,ei millestki,ei miski,
9,ei miski,ei miski,
9,helistage,helistage,
9,iganes,iganes,
9,igaüht,igaüks,
9,igaüks,igaüks,
9,ikka,ikka,
9,inimest,inimest,
9,jääge,jääge,
9,jama,jama,
9,järgmise,järgmise,
9,juhtunud midagi,juhtunud miski,
9,kaotamisi,kaotamisi,
9,keda,kes,
9,kedagi,keegi,
9,keegi,keegi,
9,keegi otsustama,keegi otsustama,
9,kellegagi,keegi,
9,kellegi,keegi,
9,kellegil,keegi,
9,kellekski,keegi,
9,kellele,kes,
9,kellelegi,keegi,
9,kellelgi,keegi,
9,kes,kes,
9,kes iganes,kes iganes,
9,kes tahes,kes tahes,
9,kõigest,kõik,
9,kõik,kõik,
9,kõike,kõik,
9,leidsite midagi,leidsite misti,
9,lülitage,lülitage,
9,midagi,miski,
9,midagi külma,miski külma,
9,midagi pole,miski pole,
9,midagi vajama,miski vajama,
9,millegagi,miski,
9,millegi,miski,
9,millekski,miski,
9,millestki,miski,
9,mingeid,mingeid,
9,mingeid vihjeid,mingeid vihjeid,
9,minult,minult,
9,minult midagi,minult miski,
9,miski,miski,
9,mitte,mitte,
9,mitte midagi,mitte miski,
9,muretseda,muretseda,
9,muutust,muutust,
9,olge,olge,
9,pilk,pilk,
9,pistmist,pistmist,
9,pole,pole,
9,pole midagi,pole miski,
9,polegi midagi,polegi miski,
9,soovite,soovite,
9,tasuta,tasuta,
9,teistele,teistele,
9,tühi,tühi,
9,tühiasi,tühiasi,
9,tüübiga,tüübiga,
9,ühele,ühele,
9,ükskõik,ükskõik,
9,üle,üle,
9,vastuteene,vastuteene,
9,võõrastega,võõrastega,
9,,,
10,-nähtiinkö,nähtiinkö,
10,-soittakaa,soittakaa,
10,aikamoista,aikamoista,
10,ainuttakaan,ainuttakaan,
10,aloillanne,aloillanne,
10,asia,asia,
10,auttakaa,auttakaa,
10,ei,ei,
10,ei mikään,ei mikään,
10,ei mitään,ei mikään,
10,ei ole mitään,ei ole mikään,
10,ekana,ekana,
10,emme mitään,emme mikään,
10,eräälle,eräs,
10,erään,eräs,
10,eräs,eräs,
10,haluaisiko joku,haluaisiko joku,
10,helppo,helppo,
10,huoleton,huoleton,
10,ihan,ihan,
10,ilmaiseksi,ilmaiseksi,
10,ilmoita,ilmoita,
10,johonkin,jokin,
10,jokainen,jokainen,
10,jokin,jokin,
10,jokin asia,jokin asia,
10,joku,joku,
10,jonkin,jokin,
10,jonkun,joku,
10,jos,jos,
10,jos joku,jos joku,
10,jostain,jokin,
10,jota,joka,
10,jotain,jokin,
10,jotain raikasta,jokin raikasta,
10,jotakin,jokin,
10,jotakuta,joku,
10,jotakuta toista,joku toista,
10,juttu,juttu,
10,kaikille,kaikille,
10,kaikkensa,kaikkensa,
10,kaikkesi,kaikkesi,
10,kanssa,kanssa,
10,käydä,käydä,
10,kellään,kuka,
10,kellekään,kukaan,
10,kenelle,kuka,
10,kenellekään,kukaan,
10,kenenkään,kukaan,
10,kenestäkään,kukaan,
10,kerraksi,kerraksi,
10,kerrottavaa,kerrottavaa,
10,kertonut,kertonut,
10,ketään,kukaan,
10,kuka,kuka,
10,kuka tahansa,kuka tahansa,
10,kukaan,kukaan,
10,kukaan muu,kukaan muu,
10,kuuleeko kukaan,kuuleeko kukaan,
10,liikkumatta,liikkumatta,
10,liikkuvat,liikkuvat,
10,loppumme,loppumme,
10,loukkaantuiko kukaan,loukkaantuiko kukaan,
10,löytää,löytää,
10,maalin,maalin,
10,mihinkään,mihinkään,
10,mikään,mikään,
10,mikään ei,mikään ei,
10,missään,mikään,
10,mistään,mikään,
10,mitään,mikään,
10,mitään ihmeellistä,mikään ihmeellistä,
10,mitään ole,mikään ole,
10,mitään opittavaa,mikään opittavaa,
10,mitään vastaavaa,mikään vastaavaa,
10,muiden,muu,
10,muille,muille,
10,muutakin,muu,
10,näkikö kukaan,näkikö kukaan,
10,näkyykö mitään,näkyykö mitään,
10,ole,ole,
10,ole mitään,ole mitään,
10,oliko,oliko,
10,oliko mitään,oliko mikään,
10,onko,onko,
10,onko kukaan,onko kukaan,
10,palvelus,palvelus,
10,palvelusta eräältä,palvelusta eräältä,
10,pelkästään,pelkästään,
10,ruokaa,ruokaa,
10,sammuttakaa,sammuttakaa,
10,sanaton,sanaton,
10,sanottavaa,sanottavaa,
10,säteen,säteen,
10,tahansa,tahansa,
10,tarvitsetko,tarvitsetko,
10,toista,toista,
10,treffit,treffit,
10,tuleeko joku,tuleeko joku,
10,tuleeko ketään,tuleeko kukaan,
10,tuotteen,tuotteen,
10,turhaan jännitä,turhaan jännitä,
10,tuttua,tuttua,
10,vain,vain,
10,varaton,varaton,
10,vastaavaa,vastaavaa,
10,yhtä,yhtä,
10,ylittää,ylittää,
10,,,
11,-rien,rien,
11,alors,alors,
11,aucune,aucune,
11,autre chose,autre chose,
11,autres,autres,
11,blessés,blessés,
11,bobo,bobo,
11,cause,cause,
11,ceux,ceux,
11,chose,chose,
11,choses,choses,
11,coupez-moi,coupez-moi,
11,courant,courant,
11,courent,courent,
11,d'aide,d'aide,
11,d'allié,d'allié,
11,d'autres,d'autres,
11,d'oublier personne,d'oublier personne,
11,débarquer,débarquer,
11,décollage,décollage,
11,être,être,
11,faire,faire,
11,gens,gens,
11,ignare,ignare,
11,ignorait,ignorait,
11,il,il,
11,importe qui,importe qui,
11,m'a,m'a,
11,manquent,manquent,
11,mémoire,mémoire,
11,monde,monde,
11,n'importe,n'importe,
11,n'importe qui,n'importe qui,
11,ne,ne,
11,nul,nul,
11,on,on,
11,on finira,on finira,
11,passé,passé,
11,personne,personne,
11,portée,portée,
11,qu'aucun,qu'aucun,
11,qu'avec,qu'avec,
11,qu'il,qu'il,
11,qu'on,qu'on,
11,quelqu'un,quelqu'un,
11,quelque,quelque,
11,quelque chose,quelque chose,
11,qui,qui,
11,quiconque,quiconque,
11,rafraîchissement,rafraîchissement,
11,rapporter,rapporter,
11,rien,rien,
11,s'inquiéter,s'inquiéter,
11,sait,sait,
11,sentir,sentir,
11,seul,seul,
11,soit,soit,
11,souviendra,souviendra,
11,t'as,t'as,
11,tout,tout,
11,toute,toute,
11,très,très,
11,truc,truc,
11,type,type,
11,un,un,
11,un mot,un mot,
11,un truc,un truc,
11,y,y,
11,,,
12,.אין,אין,
12,.אין דבר,אין דבר,
12,.אין ממה לפחד,אין ממה לפחד,
12,.אין שום דבר,אין שום דבר,
12,.אל,אל,
12,.אף,אף,
12,.אף-אחד,אף אחד,
12,.דבר,דבר,
12,.הכי,הכי,
12,.ומשהו,ומשהו,
12,.כל,כל,
12,.כל אחד,כל אחד,
12,.כלום,כלום,
12,.כלום-,כלום,
12,.לכל אחד,לכל אחד,
12,.למישהו,למישהו,
12,.למישהי,למישהי,
12,.מישהו,מישהו,
12,.מישהו שיוכל,מישהו שיוכל,
12,.משהו,משהו,
12,.שאין,.שאין,
12,.שאף,.שאף,
12,.שום,שום,
12,.שום דבר,שום דבר,
12,.שמישהו,.שמישהו,
12,אחד,אחד,
12,אחד .לאף אחד-,אחד .לאף אחד,
12,אין,אין,
12,אין דבר,אין דבר,
12,אין שום דבר,אין שום דבר,
12,איש,איש,
12,אלמלא מישהו,אלמלא מישהו,
12,אנשים,אנשים,
12,אף,אף,
12,אף אחד,אף אחד,
12,אף אחד-,אף אחד,
12,אף-אחד,אף אחד,
12,בדבר,בדבר,
12,במישהו,במישהו,
12,במשהו,במשהו,
12,במשקה,במשקה,
12,דבר,דבר,
12,דבר אינו,דבר אינו,
12,דבר-,דבר,
12,דבר-מה,דבר מה,
12,דואג-,דואג,
12,הכל,הכל,
12,הנה-,הנה,
12,חבר,חבר,
12,חייב,חייב,
12,ידע,ידע,
12,יחול,יחול,
12,יש,יש,
12,כדבר,כדבר,
12,כל,כל,
12,כל אחד,כל אחד,
12,כל דבר,כל דבר,
12,כל מי,כל מי,
12,כל מי שימצא,כל מי שימצא,
12,כלום,כלום,
12,כלום-,כלום,
12,לאיש,לאיש,
12,לאף,לאף,
12,לאף אחד,לאף אחד,
12,לאף-אחד,לאף אחד,
12,לכל,לכל,
12,למישהו,למישהו,
12,למישהי,למישהי,
12,למשהו,למשהו,
12,לשווא,לשווא,
12,מישהו,מישהו,
12,‫מישהו,‫מישהו,
12,מישהו .מצליח,מישהו מצליח,
12,מישהו שהלך,מישהו שהלך,
12,מכל,מכל,
12,ממה,ממה,
12,ממישהו,ממישהו,
12,ממשהו,ממשהו,
12,מסוימת,מסוימת,
12,משהו,משהו,
12,נשאר,נשאר,
12,‫עוד מישהו,‫עוד מישהו,
12,קשה,קשה,
12,שאי,שאי,
12,שאיש,שאיש,
12,שום דבר,שום דבר,
12,שום-דבר,שום דבר,
12,שיפור,שיפור,
12,שמישהו,שמישהו,
12,‫שמישהו,‫שמישהו,
12,שמשהו,שמשהו,
12,תתנה לאף אחד,תתנה לאף אחד,
12,,,
13,-nešto,nešto,
13,-netko,netko,
13,-nikome,nitko,
13,-ništa,ništa,
13,-zovite,zovite,
13,akciji,akciji,
13,badava,badava,
13,bilo,bilo,
13,bilo koga,bilo koga,
13,bilo tko,bilo tko,
13,čega,što,
13,ijednog,ijednog,
13,iko,itko,
13,ikoga,itko,
13,iskrcati,iskrcati,
13,išta,išta,
13,itko,itko,
13,izuzetno,izuzetno,
13,koga,ko,
13,koju,ko,
13,komu,ko,
13,makac,makac,
13,mičite,mičite,
13,napravili,napravili,
13,nečeg,nešto,
13,nečega,nešto,
13,nečim,nečim,
13,nekako,nekako,
13,nekim,netko,
13,nekime,netko,
13,neko,netko,
13,nekog,netko,
13,nekoga,netko,
13,nekom,netko,
13,nekome,netko,
13,nekomu,netko,
13,nemam ništa,nemam ništa,
13,nemaš čega,nemaš čega,
13,nemaš ništa,nemaš ništa,
13,nesto,nešto,
13,nešto,nešto,
13,netko,netko,
13,ničega,ništa,
13,nikakve,nikakve,
13,niko,nitko,
13,nikoga,nitko,
13,nikom,nitko,
13,nikome,nitko,
13,nikomu,nitko,
13,nista,ništa,
13,ništa,ništa,
13,niti,niti,
13,nitko,nitko,
13,osobi,osobi,
13,ovakvu,ovakvu,
13,ovome,ovome,
13,pametnijeg,pametnijeg,
13,poseban,poseban,
13,radijusa,radijusa,
13,riječi,riječi,
13,smiješ,smiješ,
13,što,što,
13,što god,što god,
13,svakoga,svatko,
13,svakoga tko,svatko tko,
13,svakome,svatko,
13,svatko,svatko,
13,svatko tko,svatko tko,
13,sve,sve,
13,sve učinio,sve učinio,
13,svega,sve,
13,temperaturu,temperaturu,
13,tko,tko,
13,veze,veze,
13,više,više,
13,z,z,
13,živčan,živčan,
13,,,
14,-hívják,hívják,
14,-valaki,valaki,
14,adj valamit,adj valami,
14,akartok valamit,akartok valami,
14,aki,aki,
14,akit,aki,
14,alattam,alattam,
14,állítják,állítják,
14,ami,ami,
14,ártok,ártok,
14,bárki,bárki,
14,bárki mással,bárki mással,
14,bárkit,bárki,
14,bárkitől,bárki,
14,bármi,bármi,
14,bármire,bármi,
14,bármit,bármi,
14,bármit megtenne,bármi megtenne,
14,dolgot,dolgot,
14,egyszerű,egyszerű,
14,embert,embert,
14,ennyit,ennyit,
14,erősebb,erősebb,
14,harcolnék,harcolnék,
14,hasonlót,hasonlót,
14,hely,hely,
14,idegeskedj,idegeskedj,
14,ilyet,ilyet,
14,ingyen,ingyen,
14,italra,italra,
14,kalappal,kalappal,
14,karcolás,karcolás,
14,kér,kér,
14,keressen,keressen,
14,kivel,kivel,
14,látványos,látványos,
14,lehetnek,lehetnek,
14,maradtak-e,maradtak-e,
14,más,más,
14,mást,mást,
14,megtennétek,megtennétek,
14,mindenkit,mindenkit,
14,mindennél,mindennél,
14,mindent,mindent,
14,mitől,mitől,
14,mozduljanak,mozduljanak,
14,mozduljatok,mozduljatok,
14,nincs,nincs,
14,nincs mitől,nincs mitől,
14,nincs semmi,nincs semmi,
14,nincsen semmim,nincsen semmim,
14,nyúlj,nyúlj,
14,olyannal,olyannal,
14,olyasmi,olyasmi,
14,olyat,olyat,
14,pótolhatatlan,pótolhatatlan,
14,rosszat,rosszat,
14,sem,sem,
14,sem jutok,sem jutok,
14,semmi,semmi,
14,semmi más,semmi más,
14,semmi sem,semmi sem,
14,semmid,semmi,
14,semmiért,semmi,
14,semmim,semmi,
14,semminek,semmi,
14,semmink,semmi,
14,semmire,semmi,
14,semmiség,semmi,
14,semmit,semmi,
14,semmit máshogy,semmi máshogy,
14,semmit sem,semmi sem,
14,semmitől,semmi,
14,semmitől sem,semmi sem,
14,semmivel,semmi,
14,senki,senki,
14,senki se,senki se,
14,senkije,senki,
14,senkinek,senki,
14,senkit,senki,
14,teszünk semmit,teszünk semmi,
14,újjal,újjal,
14,ürsek,ürsek,
14,valaki,valaki,
14,valaki számára,valaki számára,
14,valakiben,valaki,
14,valakinek,valaki,
14,valakit,valaki,
14,valakivel,valaki,
14,valami,valami,
14,valami olyat,valami olyat,
14,valaminek,valami,
14,valamire,valami,
14,valamit,valami,
14,valamit mondanom,valami mondanom,
14,valamitől,valami,
14,valójában,valójában,
14,vehetik,vehetik,
14,,,
15,-ada,ada,
15,-apa,apa,
15,ada,ada,
15,ada apa-apa,ada apa-apa,
15,ada orang,ada orang,
15,ada seseorang,ada seseorang,
15,ada sesuatu,ada sesuatu,
15,apa,apa,
15,apa pun,apa pun,
15,apa saja,apa saja,
15,apa-apa,apa-apa,
15,apalah,apalah,
15,apapun,apapun,
15,asing,asing,
15,barang,barang,
15,belum,belum,
15,benda,benda,
15,berakibat,berakibat,
15,berbuat,berbuat,
15,bukan,bukan,
15,bukan apa-apa,bukan apa-apa,
15,bukan siapa-siapa,bukan siapa-siapa,
15,diam,diam,
15,dilihat,dilihat,
15,diselidiki,diselidiki,
15,gratis,gratis,
15,hal,hal,
15,informasi,informasi,
15,jangan,jangan,
15,jangan ada,jangan ada,
15,kaitannya,kaitannya,
15,karena,karena,
15,lingkaran,lingkaran,
15,makhluk,makhluk,
15,melamar,melamar,
15,melihatnya,melihatnya,
15,membawakan,membawakan,
15,menceritakan,menceritakan,
15,minuman,minuman,
15,mutan,mutan,
15,nak,nak,
15,orang,orang,
15,parah,parah,
15,pasti,pasti,
15,pasti ada,pasti ada,
15,pun,pun,
15,saja,saja,
15,seorangpun,seorangpun,
15,seseorang,seseorang,
15,sesiapa,sesiapa,
15,sesuatu,sesuatu,
15,sia,sia,
15,siapa,siapa,
15,siapa pun,siapa pun,
15,siapa-siapa,siapa-siapa,
